exon_group	group	VAF
last	fs_indel_expressed	0.409090909
middle	fs_indel_expressed	0.315789474
last	fs_indel_expressed	0.053291536
last	fs_indel_expressed	0.531779661
middle	fs_indel_expressed	0.2
last	fs_indel_expressed	0.7
middle	fs_indel_expressed	0.345991561
middle	fs_indel_expressed	0.333333333
middle	fs_indel_expressed	0.378378378
middle	fs_indel_expressed	0.158730159
middle	fs_indel_expressed	0.1875
middle	fs_indel_expressed	0.405797101
middle	fs_indel_expressed	0.666666667
first	fs_indel_expressed	0.553691275
middle	fs_indel_expressed	0.12037037
middle	fs_indel_expressed	0.161001789
last	fs_indel_expressed	0.409638554
middle	fs_indel_expressed	0.222222222
last	fs_indel_expressed	0.44
middle	fs_indel_expressed	0.407894737
middle	fs_indel_expressed	0.229885057
middle	fs_indel_expressed	0.573770492
penultimate_within_50bp	fs_indel_expressed	0.066860465
last	fs_indel_expressed	0.282352941
middle	fs_indel_expressed	0.246753247
last	fs_indel_expressed	0.391176471
penultimate_within_50bp	fs_indel_expressed	0.315068493
last	fs_indel_expressed	0.297029703
middle	fs_indel_expressed	0.106719368
last	fs_indel_expressed	0.131034483
middle	fs_indel_expressed	0.054274084
middle	fs_indel_expressed	0.204892966
last	fs_indel_expressed	0.818181818
middle	fs_indel_expressed	0.392857143
penultimate_within_50bp	fs_indel_expressed	0.419753086
penultimate_50bp_plus	fs_indel_expressed	0.084482759
last	fs_indel_expressed	0.538461538
middle	fs_indel_expressed	0.146153846
middle	fs_indel_expressed	0.189393939
middle	fs_indel_expressed	0.176470588
middle	fs_indel_expressed	0.351351351
middle	fs_indel_expressed	0.098214286
last	fs_indel_expressed	0.264248705
middle	fs_indel_expressed	0.593301435
middle	fs_indel_expressed	0.064516129
penultimate_within_50bp	fs_indel_expressed	0.666666667
middle	fs_indel_expressed	0.282786885
middle	fs_indel_expressed	0.105494505
middle	fs_indel_expressed	0.15
middle	fs_indel_expressed	0.166666667
last	fs_indel_expressed	0.392857143
penultimate_within_50bp	fs_indel_expressed	0.4
last	fs_indel_expressed	0.372093023
penultimate_within_50bp	fs_indel_expressed	0.375
first	fs_indel_expressed	0.395454545
last	fs_indel_expressed	0.302309307
penultimate_50bp_plus	fs_indel_expressed	0.27184466
middle	fs_indel_expressed	0.263157895
penultimate_50bp_plus	fs_indel_expressed	0.531914894
middle	fs_indel_expressed	0.228915663
middle	fs_indel_expressed	0.152777778
penultimate_50bp_plus	fs_indel_expressed	0.361111111
last	fs_indel_expressed	0.393939394
penultimate_within_50bp	fs_indel_expressed	0.322222222
last	fs_indel_expressed	0.364188164
last	fs_indel_expressed	0.27184466
middle	fs_indel_expressed	0.179487179
middle	fs_indel_expressed	0.340314136
last	fs_indel_expressed	0.372881356
last	fs_indel_expressed	0.268817204
middle	fs_indel_expressed	0.080508475
middle	fs_indel_expressed	0.122977346
last	fs_indel_expressed	0.391608392
middle	fs_indel_expressed	0.377777778
middle	fs_indel_expressed	0.452173913
last	fs_indel_expressed	0.204545455
middle	fs_indel_expressed	0.09561753
last	fs_indel_expressed	0.444444444
middle	fs_indel_expressed	0.320987654
middle	fs_indel_expressed	0.775
middle	fs_indel_expressed	0.5
middle	fs_indel_expressed	0.163636364
middle	fs_indel_expressed	0.135135135
middle	fs_indel_expressed	0.112676056
middle	fs_indel_expressed	0.275862069
middle	fs_indel_expressed	0.253731343
middle	fs_indel_expressed	0.089285714
middle	fs_indel_expressed	0.101382488
last	fs_indel_expressed	0.644067797
middle	fs_indel_expressed	0.155555556
middle	fs_indel_expressed	0.101449275
middle	fs_indel_expressed	0.224137931
last	fs_indel_expressed	0.185483871
last	fs_indel_expressed	0.52
middle	fs_indel_expressed	0.148648649
middle	fs_indel_expressed	0.152542373
middle	fs_indel_expressed	0.270386266
last	fs_indel_expressed	0.27027027
middle	fs_indel_expressed	0.074829932
middle	fs_indel_expressed	0.163934426
middle	fs_indel_expressed	0.157894737
middle	fs_indel_expressed	0.1
penultimate_within_50bp	fs_indel_expressed	0.231343284
middle	fs_indel_expressed	0.206349206
middle	fs_indel_expressed	0.141025641
last	fs_indel_expressed	0.246575342
middle	fs_indel_expressed	0.084848485
middle	fs_indel_expressed	0.1875
middle	fs_indel_expressed	0.607734807
middle	fs_indel_expressed	0.08974359
last	fs_indel_expressed	0.098591549
middle	fs_indel_expressed	0.17721519
middle	fs_indel_expressed	0.077922078
middle	fs_indel_expressed	0.444444444
middle	fs_indel_expressed	0.063953488
last	fs_indel_expressed	0.3125
middle	fs_indel_expressed	0.1625
middle	fs_indel_expressed	0.647058824
middle	fs_indel_expressed	0.368421053
penultimate_within_50bp	fs_indel_expressed	0.214285714
middle	fs_indel_expressed	0.131578947
last	fs_indel_expressed	0.311111111
middle	fs_indel_expressed	0.072916667
first	fs_indel_expressed	0.192982456
penultimate_within_50bp	fs_indel_expressed	0.601769912
middle	fs_indel_expressed	0.333333333
last	fs_indel_expressed	0.314285714
last	fs_indel_expressed	0.504807692
middle	fs_indel_expressed	0.222222222
penultimate_within_50bp	fs_indel_expressed	0.083832335
last	fs_indel_expressed	0.4
middle	fs_indel_expressed	0.100358423
middle	fs_indel_expressed	0.75
last	fs_indel_expressed	0.112600536
middle	fs_indel_expressed	0.2
first	fs_indel_expressed	0.314285714
middle	fs_indel_expressed	0.155844156
last	fs_indel_expressed	0.491525424
middle	fs_indel_expressed	0.351851852
middle	fs_indel_expressed	0.173913043
last	fs_indel_expressed	0.5
middle	fs_indel_expressed	0.25203252
middle	fs_indel_expressed	0.666666667
middle	fs_indel_expressed	0.107843137
middle	fs_indel_expressed	0.0625
middle	fs_indel_expressed	0.197674419
middle	fs_indel_expressed	0.555555556
last	fs_indel_expressed	0.777777778
last	fs_indel_expressed	0.124223602
last	fs_indel_expressed	0.191919192
middle	fs_indel_expressed	0.153846154
last	fs_indel_expressed	0.423076923
middle	fs_indel_expressed	0.303571429
last	fs_indel_expressed	0.234636872
middle	fs_indel_expressed	0.305084746
middle	fs_indel_expressed	0.339622642
middle	fs_indel_expressed	0.218181818
middle	fs_indel_expressed	0.530612245
middle	fs_indel_expressed	0.473684211
middle	fs_indel_expressed	0.666666667
middle	fs_indel_expressed	0.133333333
middle	fs_indel_expressed	0.368421053
middle	fs_indel_expressed	0.171875
middle	fs_indel_expressed	0.128
middle	fs_indel_expressed	0.409090909
middle	fs_indel_expressed	0.427419355
middle	fs_indel_expressed	0.273972603
first	fs_indel_expressed	0.263157895
middle	fs_indel_expressed	0.391223156
middle	fs_indel_expressed	0.111111111
penultimate_within_50bp	fs_indel_expressed	0.145631068
middle	fs_indel_expressed	0.141025641
middle	fs_indel_expressed	0.142857143
last	fs_indel_expressed	0.333333333
penultimate_50bp_plus	fs_indel_expressed	0.21875
middle	fs_indel_expressed	0.233201581
first	fs_indel_expressed	0.75
middle	fs_indel_expressed	0.132075472
middle	fs_indel_expressed	0.086419753
middle	fs_indel_expressed	0.351351351
middle	fs_indel_expressed	0.277777778
middle	fs_indel_expressed	0.296482412
middle	fs_indel_expressed	0.322916667
middle	fs_indel_expressed	0.245283019
middle	fs_indel_expressed	0.379310345
middle	fs_indel_expressed	0.088122605
middle	fs_indel_expressed	0.267015707
last	fs_indel_expressed	0.485507246
middle	fs_indel_expressed	0.3
middle	fs_indel_expressed	0.103359173
penultimate_50bp_plus	fs_indel_expressed	0.076388889
middle	fs_indel_expressed	0.073394495
last	fs_indel_expressed	0.4
middle	fs_indel_expressed	0.054859465
middle	fs_indel_expressed	0.189655172
middle	fs_indel_expressed	0.231292517
middle	fs_indel_expressed	0.13740458
middle	fs_indel_expressed	0.464788732
middle	fs_indel_expressed	0.094240838
middle	fs_indel_expressed	0.166666667
middle	fs_indel_expressed	0.069767442
middle	fs_indel_expressed	0.134146341
middle	fs_indel_expressed	0.116504854
penultimate_within_50bp	fs_indel_expressed	0.794776119
last	fs_indel_expressed	0.631372549
last	fs_indel_expressed	0.331450094
last	fs_indel_expressed	0.240356083
last	fs_indel_expressed	0.42557652
middle	fs_indel_expressed	0.12716763
penultimate_within_50bp	fs_indel_expressed	0.212121212
middle	fs_indel_expressed	0.241830065
penultimate_within_50bp	fs_indel_expressed	0.275280899
last	fs_indel_expressed	0.448275862
last	fs_indel_expressed	0.304347826
middle	fs_indel_expressed	0.097345133
penultimate_within_50bp	fs_indel_expressed	0.391304348
middle	fs_indel_expressed	0.064417178
middle	fs_indel_expressed	0.234375
penultimate_within_50bp	fs_indel_expressed	0.14986376
first	fs_indel_expressed	0.200557103
penultimate_50bp_plus	fs_indel_expressed	0.132352941
middle	fs_indel_expressed	0.285714286
middle	fs_indel_expressed	0.211267606
middle	fs_indel_expressed	0.08490566
middle	fs_indel_expressed	0.073770492
middle	fs_indel_expressed	0.048582996
middle	fs_indel_expressed	0.3125
last	fs_indel_expressed	0.451612903
middle	fs_indel_expressed	0.212765957
middle	fs_indel_expressed	0.48
middle	fs_indel_expressed	0.265625
middle	fs_indel_expressed	0.3
last	fs_indel_expressed	0.121789561
middle	fs_indel_expressed	0.19047619
middle	fs_indel_expressed	0.063636364
penultimate_within_50bp	fs_indel_expressed	0.147959184
middle	fs_indel_expressed	0.248756219
penultimate_50bp_plus	fs_indel_expressed	0.396103896
middle	fs_indel_expressed	0.131944444
middle	fs_indel_expressed	0.297297297
middle	fs_indel_expressed	0.3
last	fs_indel_expressed	0.362831858
middle	fs_indel_expressed	0.265957447
middle	fs_indel_expressed	0.099173554
middle	fs_indel_expressed	0.3866171
middle	fs_indel_expressed	0.086419753
middle	fs_indel_expressed	0.079365079
middle	fs_indel_expressed	0.333333333
middle	fs_indel_expressed	0.578947368
last	fs_indel_expressed	0.238095238
middle	fs_indel_expressed	0.1875
middle	fs_indel_expressed	0.2625
middle	fs_indel_expressed	0.278195489
middle	fs_indel_expressed	0.064572426
last	fs_indel_expressed	0.307692308
middle	fs_indel_expressed	0.319845857
middle	fs_indel_expressed	0.336283186
last	fs_indel_expressed	0.403225806
last	fs_indel_expressed	0.628865979
penultimate_within_50bp	fs_indel_expressed	0.092936803
middle	fs_indel_expressed	0.101851852
last	fs_indel_expressed	0.451612903
middle	fs_indel_expressed	0.347826087
first	fs_indel_expressed	0.260869565
middle	fs_indel_expressed	0.307692308
middle	fs_indel_expressed	0.054003724
penultimate_within_50bp	fs_indel_expressed	0.360465116
last	fs_indel_expressed	0.282608696
first	fs_indel_expressed	0.328063241
last	fs_indel_expressed	0.610687023
last	fs_indel_expressed	0.482352941
last	fs_indel_expressed	0.301886792
middle	fs_indel_expressed	0.128787879
middle	fs_indel_expressed	0.123726346
middle	fs_indel_expressed	0.156862745
last	fs_indel_expressed	0.225806452
middle	fs_indel_expressed	0.447368421
middle	fs_indel_expressed	0.071614961
middle	fs_indel_expressed	0.0625
middle	fs_indel_expressed	0.226190476
middle	fs_indel_expressed	0.342465753
last	fs_indel_expressed	0.483333333
middle	fs_indel_expressed	0.272727273
middle	fs_indel_expressed	0.296610169
last	fs_indel_expressed	0.333333333
penultimate_within_50bp	fs_indel_expressed	0.31147541
middle	fs_indel_expressed	0.169811321
middle	fs_indel_expressed	0.344827586
middle	fs_indel_expressed	0.768
middle	fs_indel_expressed	0.371428571
middle	fs_indel_expressed	0.773584906
middle	fs_indel_expressed	0.307692308
last	fs_indel_expressed	0.530120482
middle	fs_indel_expressed	0.071856287
middle	fs_indel_expressed	0.091954023
middle	fs_indel_expressed	0.335268505
last	fs_indel_expressed	0.082191781
middle	fs_indel_expressed	0.166666667
middle	fs_indel_expressed	0.914285714
middle	fs_indel_expressed	0.112359551
middle	fs_indel_expressed	0.209078128
last	fs_indel_expressed	0.305084746
penultimate_50bp_plus	fs_indel_expressed	0.625
last	fs_indel_expressed	0.212863706
middle	fs_indel_expressed	0.184210526
last	fs_indel_expressed	0.401360544
last	fs_indel_expressed	0.25375626
middle	fs_indel_expressed	0.137254902
middle	fs_indel_expressed	0.413043478
middle	fs_indel_expressed	0.1875
last	fs_indel_expressed	0.378854626
middle	fs_indel_expressed	0.424242424
middle	fs_indel_expressed	0.105263158
middle	fs_indel_expressed	0.11409396
last	fs_indel_expressed	0.123993559
middle	fs_indel_expressed	0.233333333
middle	fs_indel_expressed	0.053846154
last	fs_indel_expressed	0.218390805
middle	fs_indel_expressed	0.061728395
last	fs_indel_expressed	0.064516129
last	fs_indel_expressed	0.416666667
middle	fs_indel_expressed	0.179487179
middle	fs_indel_expressed	0.133261105
middle	fs_indel_expressed	0.122562674
middle	fs_indel_expressed	0.126126126
middle	fs_indel_expressed	0.113207547
last	fs_indel_expressed	0.47752809
middle	fs_indel_expressed	0.072289157
middle	fs_indel_expressed	0.065217391
middle	fs_indel_expressed	0.4
last	fs_indel_expressed	0.278481013
middle	fs_indel_expressed	0.152777778
middle	fs_indel_expressed	0.44
middle	fs_indel_expressed	0.869565217
middle	fs_indel_expressed	0.212765957
last	fs_indel_expressed	0.5
middle	fs_indel_expressed	0.116666667
middle	fs_indel_expressed	0.2
penultimate_within_50bp	fs_indel_expressed	0.3
middle	fs_indel_expressed	0.1875
middle	fs_indel_expressed	0.181818182
middle	fs_indel_expressed	0.072625698
middle	fs_indel_expressed	0.1
middle	fs_indel_expressed	0.126213592
middle	fs_indel_expressed	0.083333333
middle	fs_indel_expressed	0.3
middle	fs_indel_expressed	0.285714286
middle	fs_indel_expressed	0.161290323
last	fs_indel_expressed	0.397435897
middle	fs_indel_expressed	0.333333333
middle	fs_indel_expressed	0.197916667
middle	fs_indel_expressed	0.385321101
middle	fs_indel_expressed	0.061068702
middle	fs_indel_expressed	0.125
last	fs_indel_expressed	0.272108844
middle	fs_indel_expressed	0.378378378
middle	fs_indel_expressed	0.075949367
middle	fs_indel_expressed	0.185185185
last	fs_indel_expressed	0.157894737
middle	fs_indel_expressed	0.136363636
middle	fs_indel_expressed	0.24137931
middle	fs_indel_expressed	0.175
middle	fs_indel_expressed	0.547619048
middle	fs_indel_expressed	0.195121951
middle	fs_indel_expressed	0.087209302
middle	fs_indel_expressed	0.131578947
last	fs_indel_expressed	0.188118812
last	fs_indel_expressed	0.34351145
middle	fs_indel_expressed	0.392156863
middle	fs_indel_expressed	0.135869565
middle	fs_indel_expressed	0.198782961
middle	fs_indel_expressed	0.23715415
penultimate_within_50bp	fs_indel_expressed	0.259259259
last	fs_indel_expressed	0.3
middle	fs_indel_expressed	0.325301205
last	fs_indel_expressed	0.468085106
middle	fs_indel_expressed	0.0859375
penultimate_50bp_plus	fs_indel_expressed	0.266666667
middle	fs_indel_expressed	0.379310345
last	fs_indel_expressed	0.405063291
last	fs_indel_expressed	0.44
penultimate_within_50bp	fs_indel_expressed	0.310679612
middle	fs_indel_expressed	0.285714286
penultimate_50bp_plus	fs_indel_expressed	0.216216216
penultimate_50bp_plus	fs_indel_expressed	0.077922078
middle	fs_indel_expressed	0.403225806
penultimate_within_50bp	fs_indel_expressed	0.259259259
middle	fs_indel_expressed	0.086956522
penultimate_within_50bp	fs_indel_expressed	0.793974302
middle	fs_indel_expressed	0.08839779
penultimate_within_50bp	fs_indel_expressed	0.31092437
middle	fs_indel_expressed	0.131578947
middle	fs_indel_expressed	0.097938144
middle	fs_indel_expressed	0.218487395
last	fs_indel_expressed	0.314814815
last	fs_indel_expressed	0.289473684
middle	fs_indel_expressed	0.278378378
last	fs_indel_expressed	0.47826087
last	fs_indel_expressed	0.282608696
middle	fs_indel_expressed	0.462427746
middle	fs_indel_expressed	0.177966102
middle	fs_indel_expressed	0.244897959
last	fs_indel_expressed	0.296875
middle	fs_indel_expressed	0.137931034
middle	fs_indel_expressed	0.2
last	fs_indel_expressed	0.553571429
penultimate_50bp_plus	fs_indel_expressed	0.3125
penultimate_50bp_plus	fs_indel_expressed	0.574468085
penultimate_within_50bp	fs_indel_expressed	0.1
first	fs_indel_expressed	0.09009009
last	fs_indel_expressed	0.166666667
middle	fs_indel_expressed	0.428571429
last	fs_indel_expressed	0.513513514
last	fs_indel_expressed	0.306122449
middle	fs_indel_expressed	0.28358209
middle	fs_indel_expressed	0.076190476
middle	fs_indel_expressed	0.336538462
last	fs_indel_expressed	0.107692308
middle	fs_indel_expressed	0.259770115
middle	fs_indel_expressed	0.067039106
middle	fs_indel_expressed	0.092105263
middle	fs_indel_expressed	0.14516129
middle	fs_indel_expressed	0.116071429
first	fs_indel_expressed	0.082352941
first	fs_indel_expressed	0.152542373
last	fs_indel_expressed	0.442857143
last	fs_indel_expressed	0.382198953
middle	fs_indel_expressed	0.137931034
last	fs_indel_expressed	0.259259259
middle	fs_indel_expressed	0.085365854
penultimate_50bp_plus	fs_indel_expressed	0.240963855
penultimate_within_50bp	fs_indel_expressed	0.291666667
middle	fs_indel_expressed	0.351851852
middle	fs_indel_expressed	0.318181818
last	fs_indel_expressed	0.472868217
penultimate_within_50bp	fs_indel_expressed	0.730769231
middle	fs_indel_expressed	0.24137931
last	fs_indel_expressed	0.387096774
middle	fs_indel_expressed	0.137254902
middle	fs_indel_expressed	0.416666667
middle	fs_indel_expressed	0.177884615
penultimate_50bp_plus	fs_indel_expressed	0.434782609
penultimate_within_50bp	fs_indel_expressed	0.204545455
middle	fs_indel_expressed	0.196721311
middle	fs_indel_expressed	0.084291188
middle	fs_indel_expressed	0.12455516
middle	fs_indel_expressed	0.147826087
last	fs_indel_expressed	0.262083781
last	fs_indel_expressed	0.324324324
last	fs_indel_expressed	0.476190476
middle	fs_indel_expressed	0.109333333
middle	fs_indel_expressed	0.084848485
penultimate_within_50bp	fs_indel_expressed	0.376068376
penultimate_50bp_plus	fs_indel_expressed	0.559322034
penultimate_within_50bp	fs_indel_expressed	0.37037037
middle	fs_indel_expressed	0.333333333
middle	fs_indel_expressed	0.962962963
middle	fs_indel_expressed	0.705882353
middle	fs_indel_expressed	0.52
middle	fs_indel_expressed	0.678571429
middle	fs_indel_expressed	0.264705882
last	fs_indel_expressed	0.052631579
middle	fs_indel_expressed	0.294117647
middle	fs_indel_expressed	0.403508772
middle	fs_indel_expressed	0.267857143
middle	fs_indel_expressed	0.393939394
middle	fs_indel_expressed	0.20625
middle	fs_indel_expressed	0.314606742
middle	fs_indel_expressed	0.092592593
middle	fs_indel_expressed	0.291666667
middle	fs_indel_expressed	0.51
middle	fs_indel_expressed	0.738916256
penultimate_within_50bp	fs_indel_expressed	0.163120567
middle	fs_indel_expressed	0.125
middle	fs_indel_expressed	0.301075269
middle	fs_indel_expressed	0.1
middle	fs_indel_expressed	0.25
middle	fs_indel_expressed	0.122302158
middle	fs_indel_expressed	0.063291139
middle	fs_indel_expressed	0.089171975
last	fs_indel_expressed	0.353982301
middle	fs_indel_expressed	0.166666667
middle	fs_indel_expressed	0.090909091
middle	fs_indel_expressed	0.173913043
middle	fs_indel_expressed	0.260869565
middle	fs_indel_expressed	0.053846154
middle	fs_indel_expressed	0.407407407
middle	fs_indel_expressed	0.099447514
middle	fs_indel_expressed	0.068965517
middle	fs_indel_expressed	0.315789474
middle	fs_indel_expressed	0.170212766
last	fs_indel_expressed	0.328767123
middle	fs_indel_expressed	0.136363636
middle	fs_indel_expressed	0.179104478
middle	fs_indel_expressed	0.283333333
middle	fs_indel_expressed	0.211206897
middle	fs_indel_expressed	0.314121037
first	fs_indel_expressed	0.185714286
penultimate_within_50bp	fs_indel_expressed	0.363157895
middle	fs_indel_expressed	0.120192308
middle	fs_indel_expressed	0.084033613
middle	fs_indel_expressed	0.123076923
penultimate_within_50bp	fs_indel_expressed	0.053742802
penultimate_within_50bp	fs_indel_expressed	0.204081633
middle	fs_indel_expressed	0.214285714
last	fs_indel_expressed	0.380530973
last	fs_indel_expressed	0.186046512
last	fs_indel_expressed	0.448979592
penultimate_within_50bp	fs_indel_expressed	0.705882353
middle	fs_indel_expressed	0.44
middle	fs_indel_expressed	0.516129032
middle	fs_indel_expressed	0.142857143
middle	fs_indel_expressed	0.615384615
penultimate_50bp_plus	fs_indel_expressed	0.364341085
middle	fs_indel_expressed	0.074324324
last	fs_indel_expressed	0.402417962
last	fs_indel_expressed	0.308823529
last	fs_indel_expressed	0.4
middle	fs_indel_expressed	0.24691358
middle	fs_indel_expressed	0.094017094
last	fs_indel_expressed	0.479338843
middle	fs_indel_expressed	0.048275862
last	fs_indel_expressed	0.753846154
middle	fs_indel_expressed	0.130841121
penultimate_within_50bp	fs_indel_expressed	0.241071429
middle	fs_indel_expressed	0.14893617
middle	fs_indel_expressed	0.605633803
last	fs_indel_expressed	0.302114804
middle	fs_indel_expressed	0.308737864
middle	fs_indel_expressed	0.340425532
penultimate_50bp_plus	fs_indel_expressed	1
penultimate_50bp_plus	fs_indel_expressed	0.300429185
middle	fs_indel_expressed	0.536121673
last	fs_indel_expressed	0.846153846
last	fs_indel_expressed	0.259259259
last	fs_indel_expressed	0.133333333
middle	fs_indel_expressed	0.157894737
middle	fs_indel_expressed	0.22450805
last	fs_indel_expressed	0.078074866
last	fs_indel_expressed	0.441964286
middle	fs_indel_expressed	0.867346939
last	fs_indel_expressed	0.28
last	fs_indel_expressed	0.722222222
middle	fs_indel_expressed	0.111111111
middle	fs_indel_expressed	0.129032258
first	fs_indel_expressed	0.163265306
first	fs_indel_expressed	0.160356347
penultimate_within_50bp	fs_indel_expressed	0.352147852
penultimate_within_50bp	fs_indel_expressed	0.363636364
middle	fs_indel_expressed	0.363636364
middle	fs_indel_expressed	0.163888889
last	fs_indel_expressed	0.265822785
penultimate_within_50bp	fs_indel_expressed	0.333333333
penultimate_50bp_plus	fs_indel_expressed	0.25
penultimate_50bp_plus	fs_indel_expressed	0.127853881
middle	fs_indel_expressed	0.380952381
middle	fs_indel_expressed	0.153846154
penultimate_within_50bp	fs_indel_expressed	0.191176471
last	fs_indel_expressed	0.149885584
